Country Name,"Series Name","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
Afghanistan,"GDP per capita growth (annual %)","","","","","","","","","","","","","","0.927029128491213","-2.49725463876796","7.32187384114641","1.08498820068219","11.8033826648297","1.86475446570948","17.1435343251686","11.099219916622","-3.21136429567821","8.24714425211201","2.00252214522942","-0.964803329240326","-1.66641641520387","-0.345802496981861","-0.253593781812398","-1.68857659267113","0.932833388709525","-5.36466593096218","-22.9669419945958","",""
Afghanistan,"Gini index","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Afghanistan,"Net official development assistance and official aid received (current US$)","122720001.220703","508540008.544922","204800003.051758","223800003.051758","226419998.168945","212529998.779297","169630004.882813","230750000","164199996.948242","142860000.610352","136009994.506836","410359985.351563","1223290039.0625","1538229980.46875","2268530029.29688","2815100097.65625","2895830078.125","4540379882.8125","4645399902.34375","5766540039.0625","6235319824.21875","6745740234.375","6666770019.53125","5152540039.0625","4942970214.84375","4274229980.46875","4069409912.10938","3811739990.23438","3792489990.23438","4136990234.375","4208899902.34375","4690520019.53125","3893270019.53125",""
Afghanistan,"Population growth (annual %)","0.202433955671883","0.469880406765633","11.5225244151801","14.9644548746872","9.86426206628341","6.04653555233991","4.1030220499493","3.9106052193522","3.88293060489748","4.07787948472197","1.4438030241194","0.742516834396313","6.44932147797304","7.54101896480183","3.93317768847308","3.57650800354462","4.13967803534352","1.79319572747206","2.00233326232255","3.56128837446668","2.89490410370988","3.68950830230738","4.07762772858795","3.46678830410982","3.65757606530364","3.12134122890873","2.58154939895659","2.86649214750073","2.88520797304849","2.90852909268743","3.13474690779163","2.85135765449931","2.53449831666733",""
Afghanistan,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","","","","","","","","","","","","","","","","","","","","","","","","","","13.1258096694946","","","","","","11.6319198608398","15.3429203033447",""
Afghanistan,"Poverty gap at $2.15 a day (2017 PPP) (%)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Afghanistan,"General government final consumption expenditure (current US$)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4412100130.84886","3033397947.54846","",""
Afghanistan,"Political Stability and Absence of Violence/Terrorism: Estimate","","","","","","","-2.41730952262878","","-2.42735457420349","","-2.43896889686584","","-2.03503370285034","-2.19837236404419","-2.29568219184875","-2.06750988960266","-2.21913456916809","-2.4133734703064","-2.69136095046997","-2.71142148971558","-2.57915186882019","-2.50205969810486","-2.41856145858765","-2.51934909820557","-2.41106843948364","-2.56262516975403","-2.6621561050415","-2.79497361183167","-2.75326204299927","-2.65240693092346","-2.70263171195984","-2.51853036880493","-2.5508017539978",""
Afghanistan,"Control of Corruption: Estimate","","","","","","","-1.29170477390289","","-1.17601227760315","","-1.27172422409058","","-1.25113701820374","-1.34417974948883","-1.35064733028412","-1.44725239276886","-1.44629228115082","-1.61325109004974","-1.67209553718567","-1.55229878425598","-1.64539110660553","-1.60047078132629","-1.43037283420563","-1.44590842723846","-1.36474287509918","-1.35423982143402","-1.54035270214081","-1.53190970420837","-1.50288057327271","-1.41949915885925","-1.49369978904724","-1.15232741832733","-1.18377649784088",""
Afghanistan,"Ease of doing business score (0 = lowest performance to 100 = best performance)","","","","","","","","","","","","","","","","","","","","","","","","","","39.25519","38.93563","37.13062","44.20343","44.06497","","","",""
